Stage,Start_Equation,Target_Equation,ChangeType,ChangedIndex1,From1,To1,ChangedIndex2,From2,To2,ChangedIndex3,From3,To3,ChangedIndex4,From4,To4,Start_Tokens,Target_Tokens
27,'2+-5=8','2--6=8',plus_to_minus,1,+,-,3,5,6,,,,,,,'2;+;-;5;=;8','2;-;-;6;=;8'
28,'-5+-5=-1','-6--5=-1',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;5;=;-;1','-;6;-;-;5;=;-;1'
29,'-5+3=0','-5-3=-8',plus_to_minus,2,+,-,5,0,-,,,,,,,'-;5;+;3;=;0','-;5;-;3;=;-;8'
30,'-5+0=-6','-6-0=-6',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;0;=;-;6','-;6;-;0;=;-;6'
31,'-3+3=-5','-3-3=-6',plus_to_minus,2,+,-,6,5,6,,,,,,,'-;3;+;3;=;-;5','-;3;-;3;=;-;6'
32,'2+-5=1','2--5=7',plus_to_minus,1,+,-,5,1,7,,,,,,,'2;+;-;5;=;1','2;-;-;5;=;7'
33,'-1+-7=0','-7--7=0',plus_to_minus,2,+,-,1,1,7,,,,,,,'-;1;+;-;7;=;0','-;7;-;-;7;=;0'
34,'-4+0=4','-4--8=4',plus_to_minus,2,+,-,3,0,-,,,,,,,'-;4;+;0;=;4','-;4;-;-;8;=;4'
35,'4+1=-3','4-7=-3',plus_to_minus,1,+,-,2,1,7,,,,,,,'4;+;1;=;-;3','4;-;7;=;-;3'
36,'-2+1=-9','-2-7=-9',plus_to_minus,2,+,-,3,1,7,,,,,,,'-;2;+;1;=;-;9','-;2;-;7;=;-;9'
37,'5+3=3','6-3=3',plus_to_minus,1,+,-,0,5,6,,,,,,,'5;+;3;=;3','6;-;3;=;3'
38,'-3+5=-9','-3-6=-9',plus_to_minus,2,+,-,3,5,6,,,,,,,'-;3;+;5;=;-;9','-;3;-;6;=;-;9'
39,'0+-5=-3','-8--5=-3',plus_to_minus,2,+,-,0,0,-,,,,,,,'0;+;-;5;=;-;3','-;8;-;-;5;=;-;3'
40,'-5+2=-8','-6-2=-8',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;2;=;-;8','-;6;-;2;=;-;8'
41,'8+3=-1','8-9=-1',plus_to_minus,1,+,-,2,3,9,,,,,,,'8;+;3;=;-;1','8;-;9;=;-;1'
42,'0+0=-8','0-8=-8',plus_to_minus,1,+,-,2,0,8,,,,,,,'0;+;0;=;-;8','0;-;8;=;-;8'
43,'-1+-8=1','-7--8=1',plus_to_minus,2,+,-,1,1,7,,,,,,,'-;1;+;-;8;=;1','-;7;-;-;8;=;1'
44,'-2+-9=1','-2--9=7',plus_to_minus,2,+,-,6,1,7,,,,,,,'-;2;+;-;9;=;1','-;2;-;-;9;=;7'
45,'-3+-7=-2','-9--7=-2',plus_to_minus,2,+,-,1,3,9,,,,,,,'-;3;+;-;7;=;-;2','-;9;-;-;7;=;-;2'
46,'3+4=5','9-4=5',plus_to_minus,1,+,-,0,3,9,,,,,,,'3;+;4;=;5','9;-;4;=;5'
47,'-3+-2=-7','-9--2=-7',plus_to_minus,2,+,-,1,3,9,,,,,,,'-;3;+;-;2;=;-;7','-;9;-;-;2;=;-;7'
48,'-5+1=-5','-5-1=-6',plus_to_minus,2,+,-,6,5,6,,,,,,,'-;5;+;1;=;-;5','-;5;-;1;=;-;6'
49,'5+-4=3','5--4=9',plus_to_minus,1,+,-,5,3,9,,,,,,,'5;+;-;4;=;3','5;-;-;4;=;9'
50,'-3+-1=-8','-9--1=-8',plus_to_minus,2,+,-,1,3,9,,,,,,,'-;3;+;-;1;=;-;8','-;9;-;-;1;=;-;8'
51,'-6+-1=1','-6--7=1',plus_to_minus,2,+,-,4,1,7,,,,,,,'-;6;+;-;1;=;1','-;6;-;-;7;=;1'
52,'3+6=3','9-6=3',plus_to_minus,1,+,-,0,3,9,,,,,,,'3;+;6;=;3','9;-;6;=;3'
53,'-5+-4=-2','-6--4=-2',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;4;=;-;2','-;6;-;-;4;=;-;2'
54,'-4+0=4','-4--8=4',plus_to_minus,2,+,-,3,0,-,,,,,,,'-;4;+;0;=;4','-;4;-;-;8;=;4'
55,'-2+6=0','-2-6=-8',plus_to_minus,2,+,-,5,0,-,,,,,,,'-;2;+;6;=;0','-;2;-;6;=;-;8'
56,'0+-1=7','0--7=7',plus_to_minus,1,+,-,3,1,7,,,,,,,'0;+;-;1;=;7','0;-;-;7;=;7'
57,'-3+5=-9','-3-6=-9',plus_to_minus,2,+,-,3,5,6,,,,,,,'-;3;+;5;=;-;9','-;3;-;6;=;-;9'
58,'8+3=-1','8-9=-1',plus_to_minus,1,+,-,2,3,9,,,,,,,'8;+;3;=;-;1','8;-;9;=;-;1'
59,'-4+-5=2','-4--6=2',plus_to_minus,2,+,-,4,5,6,,,,,,,'-;4;+;-;5;=;2','-;4;-;-;6;=;2'
60,'5+0=6','6-0=6',plus_to_minus,1,+,-,0,5,6,,,,,,,'5;+;0;=;6','6;-;0;=;6'
61,'-7+-3=2','-7--9=2',plus_to_minus,2,+,-,4,3,9,,,,,,,'-;7;+;-;3;=;2','-;7;-;-;9;=;2'
62,'-3+-2=-7','-9--2=-7',plus_to_minus,2,+,-,1,3,9,,,,,,,'-;3;+;-;2;=;-;7','-;9;-;-;2;=;-;7'
63,'5+5=1','6-5=1',plus_to_minus,1,+,-,0,5,6,,,,,,,'5;+;5;=;1','6;-;5;=;1'
64,'7+3=-2','7-9=-2',plus_to_minus,1,+,-,2,3,9,,,,,,,'7;+;3;=;-;2','7;-;9;=;-;2'
65,'7+1=0','7-7=0',plus_to_minus,1,+,-,2,1,7,,,,,,,'7;+;1;=;0','7;-;7;=;0'
66,'-2+-5=4','-2--6=4',plus_to_minus,2,+,-,4,5,6,,,,,,,'-;2;+;-;5;=;4','-;2;-;-;6;=;4'
67,'3+3=-6','3-9=-6',plus_to_minus,1,+,-,2,3,9,,,,,,,'3;+;3;=;-;6','3;-;9;=;-;6'
68,'-8+-3=1','-8--9=1',plus_to_minus,2,+,-,4,3,9,,,,,,,'-;8;+;-;3;=;1','-;8;-;-;9;=;1'
69,'1+2=5','7-2=5',plus_to_minus,1,+,-,0,1,7,,,,,,,'1;+;2;=;5','7;-;2;=;5'
70,'1+-2=9','7--2=9',plus_to_minus,1,+,-,0,1,7,,,,,,,'1;+;-;2;=;9','7;-;-;2;=;9'
71,'3+5=-3','3-6=-3',plus_to_minus,1,+,-,2,5,6,,,,,,,'3;+;5;=;-;3','3;-;6;=;-;3'
72,'-9+-2=-1','-9--2=-7',plus_to_minus,2,+,-,7,1,7,,,,,,,'-;9;+;-;2;=;-;1','-;9;-;-;2;=;-;7'
73,'-5+-1=-5','-6--1=-5',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;1;=;-;5','-;6;-;-;1;=;-;5'
74,'3+-4=1','3--4=7',plus_to_minus,1,+,-,5,1,7,,,,,,,'3;+;-;4;=;1','3;-;-;4;=;7'
75,'-3+-1=-8','-9--1=-8',plus_to_minus,2,+,-,1,3,9,,,,,,,'-;3;+;-;1;=;-;8','-;9;-;-;1;=;-;8'
76,'2+5=-4','2-6=-4',plus_to_minus,1,+,-,2,5,6,,,,,,,'2;+;5;=;-;4','2;-;6;=;-;4'
77,'0+6=-5','0-6=-6',plus_to_minus,1,+,-,5,5,6,,,,,,,'0;+;6;=;-;5','0;-;6;=;-;6'
78,'-6+0=2','-6--8=2',plus_to_minus,2,+,-,3,0,-,,,,,,,'-;6;+;0;=;2','-;6;-;-;8;=;2'
79,'-6+-1=1','-6--7=1',plus_to_minus,2,+,-,4,1,7,,,,,,,'-;6;+;-;1;=;1','-;6;-;-;7;=;1'
80,'-5+-4=-2','-6--4=-2',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;4;=;-;2','-;6;-;-;4;=;-;2'
81,'1+-5=5','1--5=6',plus_to_minus,1,+,-,5,5,6,,,,,,,'1;+;-;5;=;5','1;-;-;5;=;6'
82,'5+3=3','6-3=3',plus_to_minus,1,+,-,0,5,6,,,,,,,'5;+;3;=;3','6;-;3;=;3'
83,'3+3=-6','3-9=-6',plus_to_minus,1,+,-,2,3,9,,,,,,,'3;+;3;=;-;6','3;-;9;=;-;6'
84,'0+7=-1','0-7=-7',plus_to_minus,1,+,-,5,1,7,,,,,,,'0;+;7;=;-;1','0;-;7;=;-;7'
85,'-4+-3=5','-4--9=5',plus_to_minus,2,+,-,4,3,9,,,,,,,'-;4;+;-;3;=;5','-;4;-;-;9;=;5'
86,'8+0=0','8-0=8',plus_to_minus,1,+,-,4,0,8,,,,,,,'8;+;0;=;0','8;-;0;=;8'
87,'8+-1=3','8--1=9',plus_to_minus,1,+,-,5,3,9,,,,,,,'8;+;-;1;=;3','8;-;-;1;=;9'
88,'2+3=-7','2-9=-7',plus_to_minus,1,+,-,2,3,9,,,,,,,'2;+;3;=;-;7','2;-;9;=;-;7'
89,'0+-1=-7','-8--1=-7',plus_to_minus,2,+,-,0,0,-,,,,,,,'0;+;-;1;=;-;7','-;8;-;-;1;=;-;7'
90,'5+7=-1','6-7=-1',plus_to_minus,1,+,-,0,5,6,,,,,,,'5;+;7;=;-;1','6;-;7;=;-;1'
91,'-6+-5=0','-6--6=0',plus_to_minus,2,+,-,4,5,6,,,,,,,'-;6;+;-;5;=;0','-;6;-;-;6;=;0'
92,'-9+-2=-1','-9--2=-7',plus_to_minus,2,+,-,7,1,7,,,,,,,'-;9;+;-;2;=;-;1','-;9;-;-;2;=;-;7'
93,'-2+6=0','-2-6=-8',plus_to_minus,2,+,-,5,0,-,,,,,,,'-;2;+;6;=;0','-;2;-;6;=;-;8'
94,'-3+4=-1','-3-4=-7',plus_to_minus,2,+,-,6,1,7,,,,,,,'-;3;+;4;=;-;1','-;3;-;4;=;-;7'
95,'3+-4=1','3--4=7',plus_to_minus,1,+,-,5,1,7,,,,,,,'3;+;-;4;=;1','3;-;-;4;=;7'
96,'0+-1=-7','-8--1=-7',plus_to_minus,2,+,-,0,0,-,,,,,,,'0;+;-;1;=;-;7','-;8;-;-;1;=;-;7'
97,'-2+5=-8','-2-6=-8',plus_to_minus,2,+,-,3,5,6,,,,,,,'-;2;+;5;=;-;8','-;2;-;6;=;-;8'
98,'-3+-9=0','-9--9=0',plus_to_minus,2,+,-,1,3,9,,,,,,,'-;3;+;-;9;=;0','-;9;-;-;9;=;0'
99,'-9+0=-3','-9-0=-9',plus_to_minus,2,+,-,6,3,9,,,,,,,'-;9;+;0;=;-;3','-;9;-;0;=;-;9'
100,'2+5=-4','2-6=-4',plus_to_minus,1,+,-,2,5,6,,,,,,,'2;+;5;=;-;4','2;-;6;=;-;4'
101,'0+7=1','8-7=1',plus_to_minus,1,+,-,0,0,8,,,,,,,'0;+;7;=;1','8;-;7;=;1'
102,'3+2=7','9-2=7',plus_to_minus,1,+,-,0,3,9,,,,,,,'3;+;2;=;7','9;-;2;=;7'
103,'0+8=0','0-8=-8',plus_to_minus,1,+,-,4,0,-,,,,,,,'0;+;8;=;0','0;-;8;=;-;8'
104,'-2+-8=5','-2--8=6',plus_to_minus,2,+,-,6,5,6,,,,,,,'-;2;+;-;8;=;5','-;2;-;-;8;=;6'
105,'0+5=3','8-5=3',plus_to_minus,1,+,-,0,0,8,,,,,,,'0;+;5;=;3','8;-;5;=;3'
106,'-4+4=-9','-4-4=-8',plus_to_minus,2,+,-,6,9,8,,,,,,,'-;4;+;4;=;-;9','-;4;-;4;=;-;8'
107,'-3+6=-3','-3-6=-9',plus_to_minus,2,+,-,6,3,9,,,,,,,'-;3;+;6;=;-;3','-;3;-;6;=;-;9'
108,'-5+-3=4','-5--9=4',plus_to_minus,2,+,-,4,3,9,,,,,,,'-;5;+;-;3;=;4','-;5;-;-;9;=;4'
109,'5+-2=8','6--2=8',plus_to_minus,1,+,-,0,5,6,,,,,,,'5;+;-;2;=;8','6;-;-;2;=;8'
110,'5+0=-3','5-8=-3',plus_to_minus,1,+,-,2,0,8,,,,,,,'5;+;0;=;-;3','5;-;8;=;-;3'
111,'-3+6=-3','-3-6=-9',plus_to_minus,2,+,-,6,3,9,,,,,,,'-;3;+;6;=;-;3','-;3;-;6;=;-;9'
112,'-5+-2=-4','-6--2=-4',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;2;=;-;4','-;6;-;-;2;=;-;4'
113,'-5+3=0','-5-3=-8',plus_to_minus,2,+,-,5,0,-,,,,,,,'-;5;+;3;=;0','-;5;-;3;=;-;8'
114,'-4+2=-5','-4-2=-6',plus_to_minus,2,+,-,6,5,6,,,,,,,'-;4;+;2;=;-;5','-;4;-;2;=;-;6'
115,'-5+-6=0','-6--6=0',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;6;=;0','-;6;-;-;6;=;0'
116,'-5+4=-3','-5-4=-9',plus_to_minus,2,+,-,6,3,9,,,,,,,'-;5;+;4;=;-;3','-;5;-;4;=;-;9'
117,'-8+-2=-5','-8--2=-6',plus_to_minus,2,+,-,7,5,6,,,,,,,'-;8;+;-;2;=;-;5','-;8;-;-;2;=;-;6'
118,'-2+4=-5','-2-4=-6',plus_to_minus,2,+,-,6,5,6,,,,,,,'-;2;+;4;=;-;5','-;2;-;4;=;-;6'
119,'1+5=2','7-5=2',plus_to_minus,1,+,-,0,1,7,,,,,,,'1;+;5;=;2','7;-;5;=;2'
120,'5+-2=1','5--2=7',plus_to_minus,1,+,-,5,1,7,,,,,,,'5;+;-;2;=;1','5;-;-;2;=;7'
121,'-5+-4=-2','-6--4=-2',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;4;=;-;2','-;6;-;-;4;=;-;2'
122,'4+3=-5','4-9=-5',plus_to_minus,1,+,-,2,3,9,,,,,,,'4;+;3;=;-;5','4;-;9;=;-;5'
123,'3+4=5','9-4=5',plus_to_minus,1,+,-,0,3,9,,,,,,,'3;+;4;=;5','9;-;4;=;5'
124,'-3+-3=6','-3--9=6',plus_to_minus,2,+,-,4,3,9,,,,,,,'-;3;+;-;3;=;6','-;3;-;-;9;=;6'
125,'-1+0=-7','-7-0=-7',plus_to_minus,2,+,-,1,1,7,,,,,,,'-;1;+;0;=;-;7','-;7;-;0;=;-;7'
126,'9+1=0','9-1=8',plus_to_minus,1,+,-,4,0,8,,,,,,,'9;+;1;=;0','9;-;1;=;8'
127,'-5+3=0','-5-3=-8',plus_to_minus,2,+,-,5,0,-,,,,,,,'-;5;+;3;=;0','-;5;-;3;=;-;8'
128,'-2+-1=5','-2--7=5',plus_to_minus,2,+,-,4,1,7,,,,,,,'-;2;+;-;1;=;5','-;2;-;-;7;=;5'
129,'-3+6=-3','-3-6=-9',plus_to_minus,2,+,-,6,3,9,,,,,,,'-;3;+;6;=;-;3','-;3;-;6;=;-;9'
130,'-1+-7=5','-1--7=6',plus_to_minus,2,+,-,6,5,6,,,,,,,'-;1;+;-;7;=;5','-;1;-;-;7;=;6'
131,'-1+-8=1','-1--8=7',plus_to_minus,2,+,-,6,1,7,,,,,,,'-;1;+;-;8;=;1','-;1;-;-;8;=;7'
132,'3+-5=0','3--5=8',plus_to_minus,1,+,-,5,0,8,,,,,,,'3;+;-;5;=;0','3;-;-;5;=;8'
133,'9+4=4','8-4=4',plus_to_minus,1,+,-,0,9,8,,,,,,,'9;+;4;=;4','8;-;4;=;4'
134,'1+-1=8','7--1=8',plus_to_minus,1,+,-,0,1,7,,,,,,,'1;+;-;1;=;8','7;-;-;1;=;8'
135,'-8+0=0','-8-0=-8',plus_to_minus,2,+,-,5,0,-,,,,,,,'-;8;+;0;=;0','-;8;-;0;=;-;8'
136,'-5+0=-6','-6-0=-6',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;0;=;-;6','-;6;-;0;=;-;6'
137,'-5+4=-3','-5-4=-9',plus_to_minus,2,+,-,6,3,9,,,,,,,'-;5;+;4;=;-;3','-;5;-;4;=;-;9'
138,'-1+5=-5','-1-5=-6',plus_to_minus,2,+,-,6,5,6,,,,,,,'-;1;+;5;=;-;5','-;1;-;5;=;-;6'
139,'-5+-5=-1','-6--5=-1',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;5;=;-;1','-;6;-;-;5;=;-;1'
140,'1+4=3','7-4=3',plus_to_minus,1,+,-,0,1,7,,,,,,,'1;+;4;=;3','7;-;4;=;3'
141,'6+0=5','6-0=6',plus_to_minus,1,+,-,4,5,6,,,,,,,'6;+;0;=;5','6;-;0;=;6'
142,'-6+1=-1','-6-1=-7',plus_to_minus,2,+,-,6,1,7,,,,,,,'-;6;+;1;=;-;1','-;6;-;1;=;-;7'
143,'2+-7=3','2--7=9',plus_to_minus,1,+,-,5,3,9,,,,,,,'2;+;-;7;=;3','2;-;-;7;=;9'
144,'-2+5=-1','-2-5=-7',plus_to_minus,2,+,-,6,1,7,,,,,,,'-;2;+;5;=;-;1','-;2;-;5;=;-;7'
145,'-1+7=0','-1-7=-8',plus_to_minus,2,+,-,5,0,-,,,,,,,'-;1;+;7;=;0','-;1;-;7;=;-;8'
146,'-4+0=4','-4--8=4',plus_to_minus,2,+,-,3,0,-,,,,,,,'-;4;+;0;=;4','-;4;-;-;8;=;4'
147,'-4+-1=3','-4--7=3',plus_to_minus,2,+,-,4,1,7,,,,,,,'-;4;+;-;1;=;3','-;4;-;-;7;=;3'
148,'1+6=1','7-6=1',plus_to_minus,1,+,-,0,1,7,,,,,,,'1;+;6;=;1','7;-;6;=;1'
149,'-5+0=3','-5--8=3',plus_to_minus,2,+,-,3,0,-,,,,,,,'-;5;+;0;=;3','-;5;-;-;8;=;3'
150,'-1+-4=-3','-7--4=-3',plus_to_minus,2,+,-,1,1,7,,,,,,,'-;1;+;-;4;=;-;3','-;7;-;-;4;=;-;3'
151,'-6-3=-2','-5+3=-2',minus_to_plus,2,-,+,1,6,5,,,,,,,'-;6;-;3;=;-;2','-;5;+;3;=;-;2'
152,'-7--6=-7','-1+-6=-7',minus_to_plus,2,-,+,1,7,1,,,,,,,'-;7;-;-;6;=;-;7','-;1;+;-;6;=;-;7'
153,'6--8=-3','5+-8=-3',minus_to_plus,1,-,+,0,6,5,,,,,,,'6;-;-;8;=;-;3','5;+;-;8;=;-;3'
154,'-9-8=-9','-9+0=-9',minus_to_plus,2,-,+,3,8,0,,,,,,,'-;9;-;8;=;-;9','-;9;+;0;=;-;9'
155,'0-8=9','0+9=9',minus_to_plus,1,-,+,2,8,9,,,,,,,'0;-;8;=;9','0;+;9;=;9'
156,'2--2=8','2+-2=0',minus_to_plus,1,-,+,5,8,0,,,,,,,'2;-;-;2;=;8','2;+;-;2;=;0'
157,'7--4=9','7+-4=3',minus_to_plus,1,-,+,5,9,3,,,,,,,'7;-;-;4;=;9','7;+;-;4;=;3'
158,'-2--9=-5','-2+-3=-5',minus_to_plus,2,-,+,4,9,3,,,,,,,'-;2;-;-;9;=;-;5','-;2;+;-;3;=;-;5'
159,'8--8=-8','0+-8=-8',minus_to_plus,1,-,+,0,8,0,,,,,,,'8;-;-;8;=;-;8','0;+;-;8;=;-;8'
160,'1--8=-5','1+-6=-5',minus_to_plus,1,-,+,3,8,6,,,,,,,'1;-;-;8;=;-;5','1;+;-;6;=;-;5'
161,'-8-8=-1','-9+8=-1',minus_to_plus,2,-,+,1,8,9,,,,,,,'-;8;-;8;=;-;1','-;9;+;8;=;-;1'
162,'-7-8=2','-7+9=2',minus_to_plus,2,-,+,3,8,9,,,,,,,'-;7;-;8;=;2','-;7;+;9;=;2'
163,'-9-2=-1','-3+2=-1',minus_to_plus,2,-,+,1,9,3,,,,,,,'-;9;-;2;=;-;1','-;3;+;2;=;-;1'
164,'-7--6=-7','-1+-6=-7',minus_to_plus,2,-,+,1,7,1,,,,,,,'-;7;-;-;6;=;-;7','-;1;+;-;6;=;-;7'
165,'6--1=4','5+-1=4',minus_to_plus,1,-,+,0,6,5,,,,,,,'6;-;-;1;=;4','5;+;-;1;=;4'
166,'6--2=3','5+-2=3',minus_to_plus,1,-,+,0,6,5,,,,,,,'6;-;-;2;=;3','5;+;-;2;=;3'
167,'4--9=1','4+-3=1',minus_to_plus,1,-,+,3,9,3,,,,,,,'4;-;-;9;=;1','4;+;-;3;=;1'
168,'-7-8=7','-1+8=7',minus_to_plus,2,-,+,1,7,1,,,,,,,'-;7;-;8;=;7','-;1;+;8;=;7'
169,'-7-8=-7','-7+0=-7',minus_to_plus,2,-,+,3,8,0,,,,,,,'-;7;-;8;=;-;7','-;7;+;0;=;-;7'
170,'6-7=7','6+1=7',minus_to_plus,1,-,+,2,7,1,,,,,,,'6;-;7;=;7','6;+;1;=;7'
171,'-7--7=-8','-1+-7=-8',minus_to_plus,2,-,+,1,7,1,,,,,,,'-;7;-;-;7;=;-;8','-;1;+;-;7;=;-;8'
172,'9-8=9','9+0=9',minus_to_plus,1,-,+,2,8,0,,,,,,,'9;-;8;=;9','9;+;0;=;9'
173,'-1-7=8','-1+7=6',minus_to_plus,2,-,+,5,8,6,,,,,,,'-;1;-;7;=;8','-;1;+;7;=;6'
174,'1-0=7','1+0=1',minus_to_plus,1,-,+,4,7,1,,,,,,,'1;-;0;=;7','1;+;0;=;1'
175,'-9-8=-9','-9+0=-9',minus_to_plus,2,-,+,3,8,0,,,,,,,'-;9;-;8;=;-;9','-;9;+;0;=;-;9'
176,'-9-5=2','-3+5=2',minus_to_plus,2,-,+,1,9,3,,,,,,,'-;9;-;5;=;2','-;3;+;5;=;2'
177,'8-2=8','6+2=8',minus_to_plus,1,-,+,0,8,6,,,,,,,'8;-;2;=;8','6;+;2;=;8'
178,'-1-6=4','-1+5=4',minus_to_plus,2,-,+,3,6,5,,,,,,,'-;1;-;6;=;4','-;1;+;5;=;4'
179,'-8-7=1','-6+7=1',minus_to_plus,2,-,+,1,8,6,,,,,,,'-;8;-;7;=;1','-;6;+;7;=;1'
180,'-8-8=-2','-8+6=-2',minus_to_plus,2,-,+,3,8,6,,,,,,,'-;8;-;8;=;-;2','-;8;+;6;=;-;2'
181,'9-0=8','9+0=9',minus_to_plus,1,-,+,4,8,9,,,,,,,'9;-;0;=;8','9;+;0;=;9'
182,'7--6=2','7+-5=2',minus_to_plus,1,-,+,3,6,5,,,,,,,'7;-;-;6;=;2','7;+;-;5;=;2'
183,'3-7=4','3+1=4',minus_to_plus,1,-,+,2,7,1,,,,,,,'3;-;7;=;4','3;+;1;=;4'
184,'-8--2=-8','-6+-2=-8',minus_to_plus,2,-,+,1,8,6,,,,,,,'-;8;-;-;2;=;-;8','-;6;+;-;2;=;-;8'
185,'9--6=4','9+-5=4',minus_to_plus,1,-,+,3,6,5,,,,,,,'9;-;-;6;=;4','9;+;-;5;=;4'
186,'2-4=8','2+4=6',minus_to_plus,1,-,+,4,8,6,,,,,,,'2;-;4;=;8','2;+;4;=;6'
187,'-4-7=9','-4+7=3',minus_to_plus,2,-,+,5,9,3,,,,,,,'-;4;-;7;=;9','-;4;+;7;=;3'
188,'8--8=2','8+-6=2',minus_to_plus,1,-,+,3,8,6,,,,,,,'8;-;-;8;=;2','8;+;-;6;=;2'
189,'1-0=7','1+0=1',minus_to_plus,1,-,+,4,7,1,,,,,,,'1;-;0;=;7','1;+;0;=;1'
190,'-7-6=5','-1+6=5',minus_to_plus,2,-,+,1,7,1,,,,,,,'-;7;-;6;=;5','-;1;+;6;=;5'
191,'7--8=-7','1+-8=-7',minus_to_plus,1,-,+,0,7,1,,,,,,,'7;-;-;8;=;-;7','1;+;-;8;=;-;7'
192,'-7--2=-3','-1+-2=-3',minus_to_plus,2,-,+,1,7,1,,,,,,,'-;7;-;-;2;=;-;3','-;1;+;-;2;=;-;3'
