Level,RequiredXP,CumulativeXP,RewardGold,RewardHint,RewardTicket,RewardChange
167,510,43587,30,1,1,1
168,513,44100,30,1,1,1
169,516,44616,30,1,1,1
170,519,45135,30,1,1,1
171,522,45657,30,1,1,1
172,525,46182,30,1,1,1
173,528,46710,30,1,1,1
174,531,47241,30,1,1,1
175,534,47775,30,1,1,1
176,537,48312,30,1,1,1
177,540,48852,30,1,1,1
178,543,49395,30,1,1,1
179,546,49941,30,1,1,1
180,549,50490,30,1,1,1
181,552,51042,30,1,1,1
182,555,51597,30,1,1,1
183,558,52155,30,1,1,1
184,561,52716,30,1,1,1
185,564,53280,30,1,1,1
186,567,53847,30,1,1,1
187,570,54417,30,1,1,1
188,573,54990,30,1,1,1
189,576,55566,30,1,1,1
190,579,56145,30,1,1,1
191,582,56727,30,1,1,1
192,585,57312,30,1,1,1
193,588,57900,30,1,1,1
194,591,58491,30,1,1,1
195,594,59085,30,1,1,1
196,597,59682,30,1,1,1
197,600,60282,30,1,1,1
198,603,60885,30,1,1,1
199,606,61491,30,1,1,1
200,609,62100,50,1,1,1
201,612,62712,50,1,1,1
202,615,63327,50,1,1,1
203,618,63945,50,1,1,1
204,621,64566,50,1,1,1
205,624,65190,50,1,1,1
206,627,65817,50,1,1,1
207,630,66447,50,1,1,1
208,633,67080,50,1,1,1
209,636,67716,50,1,1,1
210,639,68355,50,1,1,1
211,642,68997,50,1,1,1
212,645,69642,50,1,1,1
213,648,70290,50,1,1,1
214,651,70941,50,1,1,1
215,654,71595,50,1,1,1
216,657,72252,50,1,1,1
217,660,72912,50,1,1,1
218,663,73575,50,1,1,1
219,666,74241,50,1,1,1
220,669,74910,50,1,1,1
221,672,75582,50,1,1,1
222,675,76257,50,1,1,1
223,678,76935,50,1,1,1
224,681,77616,50,1,1,1
225,684,78300,50,1,1,1
226,687,78987,50,1,1,1
227,690,79677,50,1,1,1
228,693,80370,50,1,1,1
229,696,81066,50,1,1,1
230,699,81765,50,1,1,1
231,702,82467,50,1,1,1
232,705,83172,50,1,1,1
233,708,83880,50,1,1,1
234,711,84591,50,1,1,1
235,714,85305,50,1,1,1
236,717,86022,50,1,1,1
237,720,86742,50,1,1,1
238,723,87465,50,1,1,1
239,726,88191,50,1,1,1
240,729,88920,50,1,1,1
241,732,89652,50,1,1,1
242,735,90387,50,1,1,1
243,738,91125,50,1,1,1
244,741,91866,50,1,1,1
245,744,92610,50,1,1,1
246,747,93357,50,1,1,1
247,750,94107,50,1,1,1
248,753,94860,50,1,1,1
249,756,95616,50,1,1,1
250,759,96375,50,1,1,1
251,762,97137,50,1,1,1
252,765,97902,50,1,1,1
253,768,98670,50,1,1,1
254,771,99441,50,1,1,1
255,774,100215,50,1,1,1
256,777,100992,50,1,1,1
257,780,101772,50,1,1,1
258,783,102555,50,1,1,1
259,786,103341,50,1,1,1
260,789,104130,50,1,1,1
261,792,104922,50,1,1,1
262,795,105717,50,1,1,1
263,798,106515,50,1,1,1
264,801,107316,50,1,1,1
265,804,108120,50,1,1,1
266,807,108927,50,1,1,1
267,810,109737,50,1,1,1
268,813,110550,50,1,1,1
269,816,111366,50,1,1,1
270,819,112185,50,1,1,1
271,822,113007,50,1,1,1
272,825,113832,50,1,1,1
273,828,114660,50,1,1,1
274,831,115491,50,1,1,1
275,834,116325,50,1,1,1
276,837,117162,50,1,1,1
277,840,118002,50,1,1,1
278,843,118845,50,1,1,1
279,846,119691,50,1,1,1
280,849,120540,50,1,1,1
281,852,121392,50,1,1,1
282,855,122247,50,1,1,1
283,858,123105,50,1,1,1
284,861,123966,50,1,1,1
285,864,124830,50,1,1,1
286,867,125697,50,1,1,1
287,870,126567,50,1,1,1
288,873,127440,50,1,1,1
289,876,128316,50,1,1,1
290,879,129195,50,1,1,1
291,882,130077,50,1,1,1
292,885,130962,50,1,1,1
293,888,131850,50,1,1,1
294,891,132741,50,1,1,1
295,894,133635,50,1,1,1
296,897,134532,50,1,1,1
297,900,135432,50,1,1,1
298,903,136335,50,1,1,1
299,906,137241,50,1,1,1
300,0,137241,50,1,1,1
