Stage,Start_Equation,Target_Equation,ChangeType,ChangedIndex1,From1,To1,ChangedIndex2,From2,To2,ChangedIndex3,From3,To3,ChangedIndex4,From4,To4,Start_Tokens,Target_Tokens
82,'78+33=172','79+93=172',digit_to_digit,1,8,9,3,3,9,,,,,,,'7;8;+;3;3;=;1;7;2','7;9;+;9;3;=;1;7;2'
83,'51-97=-5','51-57=-6',digit_to_digit,3,9,5,7,5,6,,,,,,,'5;1;-;9;7;=;-;5','5;1;-;5;7;=;-;6'
84,'31-98=-81','37-98=-61',digit_to_digit,7,8,6,1,1,7,,,,,,,'3;1;-;9;8;=;-;8;1','3;7;-;9;8;=;-;6;1'
85,'94+57=147','84+57=141',digit_to_digit,8,7,1,0,9,8,,,,,,,'9;4;+;5;7;=;1;4;7','8;4;+;5;7;=;1;4;1'
86,'55-97=22','59-37=22',digit_to_digit,3,9,3,1,5,9,,,,,,,'5;5;-;9;7;=;2;2','5;9;-;3;7;=;2;2'
87,'88-42=730','88+42=130',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'8;8;-;4;2;=;7;3;0','8;8;+;4;2;=;1;3;0'
88,'84-49=127','84+43=127',op_and_digit_balance,4,9,3,2,-,+,,,,,,,'8;4;-;4;9;=;1;2;7','8;4;+;4;3;=;1;2;7'
89,'91+30=111','91+20=111',within_digit,3,3,2,,,,,,,,,,'9;1;+;3;0;=;1;11','9;1;+;2;0;=;1;11'
90,'10=76--66','10-76=-66',swap_-_and_=,2,=,-,5,-,=,,,,,,,'1;0;=;7;6;-;-;6;6','1;0;-;7;6;=;-;6;6'
91,'88-53=26','89-63=26',digit_to_digit,1,8,9,3,5,6,,,,,,,'8;8;-;5;3;=;2;6','8;9;-;6;3;=;2;6'
92,'82-44=106','62+44=106',op_and_digit_balance,0,8,6,2,-,+,,,,,,,'8;2;-;4;4;=;1;0;6','6;2;+;4;4;=;1;0;6'
93,'44=54--10','44-54=-10',swap_-_and_=,2,=,-,5,-,=,,,,,,,'4;4;=;5;4;-;-;1;0','4;4;-;5;4;=;-;1;0'
94,'68+36=54','58+36=94',digit_to_digit,0,6,5,6,5,9,,,,,,,'6;8;+;3;6;=;5;4','5;8;+;3;6;=;9;4'
95,'98+85=101','96+85=181',digit_to_digit,1,8,6,7,0,8,,,,,,,'9;8;+;8;5;=;1;0;1','9;6;+;8;5;=;1;8;1'
96,'52=78--26','52-78=-26',swap_-_and_=,2,=,-,5,-,=,,,,,,,'5;2;=;7;8;-;-;2;6','5;2;-;7;8;=;-;2;6'
97,'57-82=-16','67-82=-15',digit_to_digit,8,6,5,0,5,6,,,,,,,'5;7;-;8;2;=;-;1;6','6;7;-;8;2;=;-;1;5'
98,'43=21-22','43-21=22',swap_-_and_=,2,=,-,5,-,=,,,,,,,'4;3;=;2;1;-;2;2','4;3;-;2;1;=;2;2'
99,'53+49=5','53-48=5',op_and_digit_balance,2,+,-,4,9,8,,,,,,,'5;3;+;4;9;=;5','5;3;-;4;8;=;5'
100,'20+14=-54','20-74=-54',op_and_digit_balance,2,+,-,3,1,7,,,,,,,'2;0;+;1;4;=;-;5;4','2;0;-;7;4;=;-;5;4'
101,'87=53-34','87-53=34',swap_-_and_=,2,=,-,5,-,=,,,,,,,'8;7;=;5;3;-;3;4','8;7;-;5;3;=;3;4'
102,'95=21-74','95-21=74',swap_-_and_=,2,=,-,5,-,=,,,,,,,'9;5;=;2;1;-;7;4','9;5;-;2;1;=;7;4'
103,'60+89=151','68+83=151',digit_to_digit,4,9,3,1,0,8,,,,,,,'6;0;+;8;9;=;1;5;1','6;8;+;8;3;=;1;5;1'
104,'91=45-46','91-45=46',swap_-_and_=,2,=,-,5,-,=,,,,,,,'9;1;=;4;5;-;4;6','9;1;-;4;5;=;4;6'
105,'25-39=60','25+35=60',op_and_digit_balance,4,9,5,2,-,+,,,,,,,'2;5;-;3;9;=;6;0','2;5;+;3;5;=;6;0'
106,'37-83=100','37+63=100',op_and_digit_balance,3,8,6,2,-,+,,,,,,,'3;7;-;8;3;=;1;0;0','3;7;+;6;3;=;1;0;0'
107,'87-91=778','87+91=178',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'8;7;-;9;1;=;7;7;8','8;7;+;9;1;=;1;7;8'
108,'86-84=3','86-84=2',within_digit,6,3,2,,,,,,,,,,'8;6;-;8;4;=;3','8;6;-;8;4;=;2'
109,'77-91=45','77-31=46',digit_to_digit,3,9,3,7,5,6,,,,,,,'7;7;-;9;1;=;4;5','7;7;-;3;1;=;4;6'
110,'12+72=744','72+72=144',digit_to_digit,6,7,1,0,1,7,,,,,,,'1;2;+;7;2;=;7;4;4','7;2;+;7;2;=;1;4;4'
111,'33+94=-51','33-94=-61',op_and_digit_balance,2,+,-,7,5,6,,,,,,,'3;3;+;9;4;=;-;5;1','3;3;-;9;4;=;-;6;1'
112,'75-81=96','15+81=96',op_and_digit_balance,0,7,1,2,-,+,,,,,,,'7;5;-;8;1;=;9;6','1;5;+;8;1;=;9;6'
113,'98-12=79','90-12=78',digit_to_digit,1,8,0,7,9,8,,,,,,,'9;8;-;1;2;=;7;9','9;0;-;1;2;=;7;8'
114,'52+77=15','92-77=15',op_and_digit_balance,2,+,-,0,5,9,,,,,,,'5;2;+;7;7;=;1;5','9;2;-;7;7;=;1;5'
115,'91-18=-47','31-78=-47',digit_to_digit,0,9,3,3,1,7,,,,,,,'9;1;-;1;8;=;-;4;7','3;1;-;7;8;=;-;4;7'
116,'25+51=-22','29-51=-22',op_and_digit_balance,2,+,-,1,5,9,,,,,,,'2;5;+;5;1;=;-;2;2','2;9;-;5;1;=;-;2;2'
117,'37+31=0','37-37=0',op_and_digit_balance,2,+,-,4,1,7,,,,,,,'3;7;+;3;1;=;0','3;7;-;3;7;=;0'
118,'60+52=128','68+52=120',digit_to_digit,8,8,0,1,0,8,,,,,,,'6;0;+;5;2;=;1;2;8','6;8;+;5;2;=;1;2;0'
119,'61-80=147','61+80=141',op_and_digit_balance,8,7,1,2,-,+,,,,,,,'6;1;-;8;0;=;1;4;7','6;1;+;8;0;=;1;4;1'
120,'14+32=-16','14-32=-18',op_and_digit_balance,2,+,-,8,6,8,,,,,,,'1;4;+;3;2;=;-;1;6','1;4;-;3;2;=;-;1;8'
121,'75=99--24','75-99=-24',swap_-_and_=,2,=,-,5,-,=,,,,,,,'7;5;=;9;9;-;-;2;4','7;5;-;9;9;=;-;2;4'
122,'20+49=-23','20-49=-29',op_and_digit_balance,2,+,-,8,3,9,,,,,,,'2;0;+;4;9;=;-;2;3','2;0;-;4;9;=;-;2;9'
123,'40=35-5','40-35=5',swap_-_and_=,2,=,-,5,-,=,,,,,,,'4;0;=;3;5;-;5','4;0;-;3;5;=;5'
124,'62+80=2','82-80=2',op_and_digit_balance,2,+,-,0,6,8,,,,,,,'6;2;+;8;0;=;2','8;2;-;8;0;=;2'
125,'98-19=111','98+13=111',op_and_digit_balance,4,9,3,2,-,+,,,,,,,'9;8;-;1;9;=;1;11','9;8;+;1;3;=;1;11'
126,'12+58=730','72+58=130',digit_to_digit,6,7,1,0,1,7,,,,,,,'1;2;+;5;8;=;7;3;0','7;2;+;5;8;=;1;3;0'
127,'92+83=174','92+82=174',within_digit,4,3,2,,,,,,,,,,'9;2;+;8;3;=;1;7;4','9;2;+;8;2;=;1;7;4'
128,'54-78=192','54+78=132',op_and_digit_balance,7,9,3,2,-,+,,,,,,,'5;4;-;7;8;=;1;9;2','5;4;+;7;8;=;1;3;2'
129,'20+94=184','20+84=104',digit_to_digit,7,8,0,3,9,8,,,,,,,'2;0;+;9;4;=;1;8;4','2;0;+;8;4;=;1;0;4'
130,'85-78=10','86-76=10',digit_to_digit,4,8,6,1,5,6,,,,,,,'8;5;-;7;8;=;1;0','8;6;-;7;6;=;1;0'
131,'52+18=78','62+16=78',digit_to_digit,4,8,6,0,5,6,,,,,,,'5;2;+;1;8;=;7;8','6;2;+;1;6;=;7;8'
132,'67-28=29','67-28=39',within_digit,6,2,3,,,,,,,,,,'6;7;-;2;8;=;2;9','6;7;-;2;8;=;3;9'
133,'18-16=33','18+15=33',op_and_digit_balance,4,6,5,2,-,+,,,,,,,'1;8;-;1;6;=;3;3','1;8;+;1;5;=;3;3'
134,'77-78=95','17+78=95',op_and_digit_balance,0,7,1,2,-,+,,,,,,,'7;7;-;7;8;=;9;5','1;7;+;7;8;=;9;5'
135,'64+20=14','54+20=74',digit_to_digit,0,6,5,6,1,7,,,,,,,'6;4;+;2;0;=;1;4','5;4;+;2;0;=;7;4'
136,'29+10=41','23+18=41',digit_to_digit,1,9,3,4,0,8,,,,,,,'2;9;+;1;0;=;4;1','2;3;+;1;8;=;4;1'
137,'50-98=32','90-58=32',digit_to_digit,3,9,5,0,5,9,,,,,,,'5;0;-;9;8;=;3;2','9;0;-;5;8;=;3;2'
138,'29+53=-25','28-53=-25',op_and_digit_balance,2,+,-,1,9,8,,,,,,,'2;9;+;5;3;=;-;2;5','2;8;-;5;3;=;-;2;5'
139,'18-82=-611','18-82=-64',four_eleven,8,11,4,,,,,,,,,,'1;8;-;8;2;=;-;6;11','1;8;-;8;2;=;-;6;4'
140,'82-18=6','82-76=6',digit_to_digit,4,8,6,3,1,7,,,,,,,'8;2;-;1;8;=;6','8;2;-;7;6;=;6'
141,'15+98=-82','16-98=-82',op_and_digit_balance,2,+,-,1,5,6,,,,,,,'1;5;+;9;8;=;-;8;2','1;6;-;9;8;=;-;8;2'
142,'63-68=191','63+68=131',op_and_digit_balance,7,9,3,2,-,+,,,,,,,'6;3;-;6;8;=;1;9;1','6;3;+;6;8;=;1;3;1'
143,'31+67=89','31+57=88',digit_to_digit,3,6,5,7,9,8,,,,,,,'3;1;+;6;7;=;8;9','3;1;+;5;7;=;8;8'
144,'50+82=8','90-82=8',op_and_digit_balance,2,+,-,0,5,9,,,,,,,'5;0;+;8;2;=;8','9;0;-;8;2;=;8'
145,'27+61=-54','27-81=-54',op_and_digit_balance,2,+,-,3,6,8,,,,,,,'2;7;+;6;1;=;-;5;4','2;7;-;8;1;=;-;5;4'
146,'51=45-6','51-45=6',swap_-_and_=,2,=,-,5,-,=,,,,,,,'5;1;=;4;5;-;6','5;1;-;4;5;=;6'
147,'15+29=-10','19-29=-10',op_and_digit_balance,2,+,-,1,5,9,,,,,,,'1;5;+;2;9;=;-;1;0','1;9;-;2;9;=;-;1;0'
148,'20-27=3','30-27=3',within_digit,0,2,3,,,,,,,,,,'2;0;-;2;7;=;3','3;0;-;2;7;=;3'
149,'99+63=752','89+63=152',digit_to_digit,6,7,1,0,9,8,,,,,,,'9;9;+;6;3;=;7;5;2','8;9;+;6;3;=;1;5;2'
150,'91-96=-59','37-96=-59',digit_to_digit,0,9,3,1,1,7,,,,,,,'9;1;-;9;6;=;-;5;9','3;7;-;9;6;=;-;5;9'
151,'89-38=58','88-30=58',digit_to_digit,4,8,0,1,9,8,,,,,,,'8;9;-;3;8;=;5;8','8;8;-;3;0;=;5;8'
152,'83-89=-25','63-89=-26',digit_to_digit,0,8,6,8,5,6,,,,,,,'8;3;-;8;9;=;-;2;5','6;3;-;8;9;=;-;2;6'
153,'27-31=-70','27-37=-10',digit_to_digit,7,7,1,4,1,7,,,,,,,'2;7;-;3;1;=;-;7;0','2;7;-;3;7;=;-;1;0'
154,'75+38=109','79+30=109',digit_to_digit,4,8,0,1,5,9,,,,,,,'7;5;+;3;8;=;1;0;9','7;9;+;3;0;=;1;0;9'
155,'10=23--13','10-23=-13',swap_-_and_=,2,=,-,5,-,=,,,,,,,'1;0;=;2;3;-;-;1;3','1;0;-;2;3;=;-;1;3'
156,'94-21=7','34-27=7',digit_to_digit,0,9,3,4,1,7,,,,,,,'9;4;-;2;1;=;7','3;4;-;2;7;=;7'
157,'27-36=-75','21-96=-75',digit_to_digit,1,7,1,3,3,9,,,,,,,'2;7;-;3;6;=;-;7;5','2;1;-;9;6;=;-;7;5'
158,'54+74=138','54+74=128',within_digit,7,3,2,,,,,,,,,,'5;4;+;7;4;=;1;3;8','5;4;+;7;4;=;1;2;8'
159,'58-91=147','56+91=147',op_and_digit_balance,1,8,6,2,-,+,,,,,,,'5;8;-;9;1;=;1;4;7','5;6;+;9;1;=;1;4;7'
160,'85+65=0','85-85=0',op_and_digit_balance,2,+,-,3,6,8,,,,,,,'8;5;+;6;5;=;0','8;5;-;8;5;=;0'
161,'54-20=25','54-29=25',within_digit,4,0,9,,,,,,,,,,'5;4;-;2;0;=;2;5','5;4;-;2;9;=;2;5'
162,'39+87=-49','39-87=-48',op_and_digit_balance,2,+,-,8,9,8,,,,,,,'3;9;+;8;7;=;-;4;9','3;9;-;8;7;=;-;4;8'
163,'40+62=32','40+52=92',digit_to_digit,3,6,5,6,3,9,,,,,,,'4;0;+;6;2;=;3;2','4;0;+;5;2;=;9;2'
164,'64+51=3','64-61=3',op_and_digit_balance,2,+,-,3,5,6,,,,,,,'6;4;+;5;1;=;3','6;4;-;6;1;=;3'
165,'39+19=112','33+79=112',digit_to_digit,1,9,3,3,1,7,,,,,,,'3;9;+;1;9;=;11;2','3;3;+;7;9;=;11;2'
166,'11+59=-49','11-59=-48',op_and_digit_balance,1,+,-,7,9,8,,,,,,,'11;+;5;9;=;-;4;9','11;-;5;9;=;-;4;8'
167,'64+57=131','64+57=121',within_digit,7,3,2,,,,,,,,,,'6;4;+;5;7;=;1;3;1','6;4;+;5;7;=;1;2;1'
168,'55-89=-27','56-83=-27',digit_to_digit,4,9,3,1,5,6,,,,,,,'5;5;-;8;9;=;-;2;7','5;6;-;8;3;=;-;2;7'
169,'84-57=741','84+57=141',op_and_digit_balance,6,7,1,2,-,+,,,,,,,'8;4;-;5;7;=;7;4;1','8;4;+;5;7;=;1;4;1'
170,'62-68=-1','62-69=-7',digit_to_digit,4,8,9,7,1,7,,,,,,,'6;2;-;6;8;=;-;1','6;2;-;6;9;=;-;7'
171,'14+85=-72','14-86=-72',op_and_digit_balance,2,+,-,4,5,6,,,,,,,'1;4;+;8;5;=;-;7;2','1;4;-;8;6;=;-;7;2'
172,'45+89=193','45+88=133',digit_to_digit,7,9,3,4,9,8,,,,,,,'4;5;+;8;9;=;1;9;3','4;5;+;8;8;=;1;3;3'
173,'66=58-8','66-58=8',swap_-_and_=,2,=,-,5,-,=,,,,,,,'6;6;=;5;8;-;8','6;6;-;5;8;=;8'
174,'20-83=-59','20-83=-63',digit_to_digit,8,9,3,7,5,6,,,,,,,'2;0;-;8;3;=;-;5;9','2;0;-;8;3;=;-;6;3'
175,'12=23--11','12-23=-11',swap_-_and_=,2,=,-,5,-,=,,,,,,,'1;2;=;2;3;-;-;11','1;2;-;2;3;=;-;11'
176,'69-28=89','69+20=89',op_and_digit_balance,4,8,0,2,-,+,,,,,,,'6;9;-;2;8;=;8;9','6;9;+;2;0;=;8;9'
177,'94+28=56','94-28=66',op_and_digit_balance,2,+,-,6,5,6,,,,,,,'9;4;+;2;8;=;5;6','9;4;-;2;8;=;6;6'
178,'79-48=123','75+48=123',op_and_digit_balance,1,9,5,2,-,+,,,,,,,'7;9;-;4;8;=;1;2;3','7;5;+;4;8;=;1;2;3'
179,'93=39-54','93-39=54',swap_-_and_=,2,=,-,5,-,=,,,,,,,'9;3;=;3;9;-;5;4','9;3;-;3;9;=;5;4'
